price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
18.99,75987.0,37,32767,5341993434,76667,1,False,2019-01-16 16:41:22.000,14,60007003,10000065,30005039,6,
18.99,113858.0,37,32767,5345407307,113858,1,False,2019-01-21 03:41:09.000,14,60007003,10000065,30005039,6,
19.1,307583.0,37,32767,5302175637,1079927,1,False,2018-11-24 14:37:11.000,90,1026915202936,10000065,30005037,5,
19.1,790.0,37,32767,5311234675,2721,1,False,2018-12-07 01:01:28.000,90,60008611,10000065,30005039,6,
19.5,4905461.0,37,32767,5335373127,5000000,1,False,2019-01-07 13:20:52.000,90,60014599,10000065,30005042,4,
27.0,791.0,37,32767,5289046425,75000,1,False,2018-11-06 21:28:23.000,90,60014599,10000065,30005042,4,
27.94,6376600.0,37,32767,5142915868,8896609,1,False,2018-12-27 18:40:36.000,90,60002212,10000065,30005038,5,
37.49,53567.0,37,32767,5345955296,55000,1,False,2019-01-21 21:43:12.000,90,60015020,10000065,30045042,6,
37.5,19536.0,37,32767,5312882460,25000,1,False,2018-12-09 09:27:41.000,90,60015020,10000065,30045042,6,
37.91,22135058.0,37,32767,5127720443,29601171,1,False,2018-12-21 20:08:31.000,90,60008203,10000065,30005048,4,
39.9,575402.0,37,32767,5185221779,575412,1,False,2018-12-21 20:06:54.000,90,60002218,10000065,30005041,7,
39.9,4674377.0,37,32767,5185221988,4708077,1,False,2018-12-21 20:07:36.000,90,60010420,10000065,30005075,1,
100.84,907170.0,37,32767,5297789627,907170,1,False,2018-11-18 17:11:47.000,90,60007723,10000065,30005050,12,
12.5,112648.0,37,2,5320586872,1000000,1,True,2018-12-19 16:34:26.000,90,60015020,10000065,30045042,6,
12.5,20000000.0,37,-1,5333740405,20000000,1,True,2019-01-05 14:51:56.000,90,60013276,10000065,30005084,9,
12.26,14741035.0,37,-1,5301694082,15000000,1,True,2018-11-23 23:25:11.000,90,60008209,10000065,30005045,2,
12.0,9997435.0,37,-1,5298845954,10000000,1,True,2018-11-19 23:10:52.000,90,60015020,10000065,30045042,6,
11.98,996025.0,37,2,5344716890,1000000,1,True,2019-01-20 10:00:49.000,90,1029593810909,10000065,30005060,16,
11.57,696596.0,37,4,5345002467,1000000,1,True,2019-01-22 07:50:25.000,90,60008698,10000065,30005044,3,
11.56,1292166.0,37,2,5288042611,1500000,1,True,2019-01-22 02:16:54.000,90,60014599,10000065,30005042,4,
10.12,9946497.0,37,3,5344825724,10000000,1,True,2019-01-20 13:22:09.000,90,60005182,10000065,30005056,13,
10.11,3176357.0,37,2,5286160811,4000000,1,True,2018-11-03 07:05:24.000,90,60005176,10000065,30005058,15,
10.01,20000000.0,37,32767,5302177135,20000000,100000,True,2018-11-24 14:39:09.000,90,1026915202936,10000065,30005037,5,
0.6,149156571.0,37,32767,5109727058,150000000,1,True,2018-12-25 21:26:05.000,90,60001978,10000065,30005070,1,
