price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
3.2,102631.0,35,32767,5338997359,107315,1,False,2019-01-12 16:12:27.000,90,60014656,10000065,30005063,18,
4.0,1556.0,35,32767,5339207084,1556,1,False,2019-01-12 20:36:08.000,14,60012484,10000065,30005078,5,
5.2,2057360.0,35,32767,5336135451,6500000,1,False,2019-01-08 14:23:52.000,90,60015020,10000065,30045042,6,
5.79,126950953.0,35,32767,5297889598,139605760,1,False,2018-12-29 16:00:51.000,90,60002212,10000065,30005038,5,
5.8,4339329.0,35,32767,5185220967,6639963,1,False,2018-12-21 20:08:44.000,90,60010420,10000065,30005075,1,
50.0,5324.0,35,32767,5295252149,5324,1,False,2018-11-15 17:25:14.000,90,60015020,10000065,30045042,6,
4.0,9822425.0,35,-1,5345763009,10000000,1,True,2019-01-21 17:11:00.000,90,60008200,10000065,30005045,2,
3.25,46379528.0,35,-1,5301693028,50000000,1,True,2018-11-23 23:22:48.000,90,60008209,10000065,30005045,2,
3.21,23557664.0,35,3,5278886023,100000000,1,True,2018-12-31 14:53:48.000,90,60005182,10000065,30005056,13,
3.2,15000000.0,35,2,5286159947,15000000,1,True,2018-11-03 07:03:11.000,90,60005176,10000065,30005058,15,
3.15,6922936.0,35,-1,5336101020,10000000,1,True,2019-01-08 13:22:15.000,90,60015020,10000065,30045042,6,
3.09,3906320.0,35,-1,5342065612,3937612,1,True,2019-01-16 18:51:23.000,90,60002215,10000065,30005037,5,
2.51,25586396.0,35,4,5319308595,50000000,1,True,2018-12-26 09:50:04.000,90,60008698,10000065,30005044,3,
2.5,99753902.0,35,32767,5325557305,100000000,1,True,2018-12-25 21:28:54.000,90,60001978,10000065,30005070,1,
2.01,200000000.0,35,32767,5302179405,200000000,1000000,True,2018-11-24 14:42:14.000,90,1026915202936,10000065,30005037,5,
