price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
4.39,323886.0,34,32767,5345406925,323886,1,False,2019-01-21 03:40:15.000,14,60007003,10000065,30005039,6,
4.5,2107381.0,34,32767,5336827460,5166621,1,False,2019-01-09 15:14:38.000,90,60007258,10000065,30005040,6,
4.5,8754.0,34,32767,5339206771,8904,1,False,2019-01-12 20:35:48.000,14,60012484,10000065,30005078,5,
4.71,15711349.0,34,32767,5334585497,18172051,1,False,2019-01-06 13:49:48.000,90,60015018,10000065,30025042,4,
4.9,1500.0,34,32767,5317845263,1750,1,False,2018-12-16 05:27:12.000,90,60015018,10000065,30025042,4,
4.9,250.0,34,32767,5317845376,250,1,False,2018-12-16 05:27:39.000,90,60015018,10000065,30025042,4,
5.0,32.0,34,32767,5303789297,250,1,False,2018-11-26 09:50:18.000,90,60008587,10000065,30005035,5,
5.5,11517.0,34,32767,5284905916,19105,1,False,2018-11-01 14:39:36.000,90,60008698,10000065,30005044,3,
5.98,71569091.0,34,32767,5243595460,117162229,1,False,2018-12-07 16:13:37.000,90,60002212,10000065,30005038,5,
6.45,98667.0,34,32767,5345649043,100000,1,False,2019-01-21 13:59:06.000,90,60015020,10000065,30045042,6,
6.5,367469.0,34,32767,5310672343,500000,1,False,2018-12-06 03:01:40.000,90,60015020,10000065,30045042,6,
340.0,2750.0,34,32767,5326993613,2750,1,False,2018-12-27 19:50:29.000,90,60014599,10000065,30005042,4,
2000.0,1250.0,34,32767,5343193516,1250,1,False,2019-01-18 12:44:21.000,90,60015020,10000065,30045042,6,
10000.0,1.0,34,32767,5310844840,1,1,False,2018-12-06 11:41:02.000,90,60002215,10000065,30005037,5,
4.6,20000000.0,34,-1,5346144715,20000000,10000,True,2019-01-22 03:28:06.000,3,60003478,10000065,30005055,13,
4.5,72859599.0,34,-1,5230474144,100000000,1,True,2019-01-05 14:27:24.000,90,60013276,10000065,30005084,9,
4.49,44166315.0,34,5,5345987459,45000000,1,True,2019-01-21 22:34:04.000,90,60008452,10000065,30005060,16,
4.3,74491568.0,34,-1,5301692503,100000000,1,True,2018-12-28 08:12:59.000,90,60008209,10000065,30005045,2,
4.29,15007915.0,34,-1,5323300293,20000000,1,True,2018-12-23 03:45:58.000,90,60008200,10000065,30005045,2,
4.05,7940618.0,34,-1,5334574691,13986412,1,True,2019-01-19 18:31:48.000,90,60002215,10000065,30005037,5,
4.03,89069125.0,34,1,5343763403,100000000,100000,True,2019-01-19 07:01:07.000,30,1026915202936,10000065,30005037,5,
4.0,25790227.0,34,1,5337496103,50000000,1000,True,2019-01-10 15:34:25.000,30,1026915202936,10000065,30005037,5,
3.91,9853531.0,34,2,5344720874,10000000,1,True,2019-01-20 10:07:51.000,90,1029593810909,10000065,30005060,16,
3.9,5229270.0,34,2,5330940577,10000000,1,True,2019-01-01 21:53:55.000,90,60008452,10000065,30005060,16,
3.21,2962277.0,34,-1,5332018836,3000000,1,True,2019-01-03 09:05:51.000,90,60015020,10000065,30045042,6,
3.2,1000000.0,34,-1,5344956830,1000000,1,True,2019-01-20 16:15:28.000,30,60002209,10000065,30005038,5,
3.15,50000000.0,34,-1,5285567929,50000000,1,True,2018-11-02 13:15:22.000,90,60005179,10000065,30005058,15,
3.0,53871995.0,34,4,5345001021,100000000,1,True,2019-01-20 17:09:23.000,90,60008698,10000065,30005044,3,
2.0,9422061.0,34,3,5298875011,100000000,1,True,2018-12-31 14:54:31.000,90,60005182,10000065,30005056,13,
1.01,100000000.0,34,32767,5302179962,100000000,1000000,True,2018-11-24 14:42:56.000,90,1026915202936,10000065,30005037,5,
0.2,993919768.0,34,32767,5160857039,1000000000,1,True,2018-12-25 21:25:04.000,90,60001978,10000065,30005070,1,
